,isbn10,authors
1282,0306809575,Mark Twain
1283,0306813688,Michael Streissguth
1284,0306814552,John Wilcockson
1285,0307236013,Douglas Adams
1285,0307236013,John Lloyd
1286,0307237907,Karen Harper
1287,030723827X,Giada De Laurentiis
1288,0307264122,George Edward Stanley
1289,0307264653,John Updike
1290,0307264882,Toni Morrison
1291,0307264890,Umberto Eco
1292,0307265439,Cormac McCarthy
1293,0307266613,Pelham Grenville Wodehouse
1294,0307274977,Sam Shepard
1295,0307275558,Lauren Weisberger
1296,0307275566,Lincoln Child
1297,0307275736,P. D. James
1298,0307275930,James Baldwin
1299,0307276902,James Frey
1300,0307277674,Dan Brown
1301,0307278360,Cormac McCarthy
1302,0307279464,Bill Bryson
1303,0307335852,Katharine McMahon
1304,0307337332,Cesar Millan
1304,0307337332,Melissa Jo Peltier
1305,0307337936,Govind Armstrong
1305,0307337936,Ann Wycoff
1305,0307337936,Alison Clare Steingold
1306,0307345971,Mark Leyner
1306,0307345971,Billy Goldberg
1307,0307346587,Giada De Laurentiis
1308,0307383415,Barack Obama
1309,0310214696,Ben Carson
1309,0310214696,Cecil B. Murphey
1310,0310217601,Terri Blackstock
1311,0310243564,Leonard I. Sweet
1311,0310243564,Brian D. McLaren
1311,0310243564,Jerry Haselmayer
1312,0310243874,James Scott Bell
1313,0310243882,James Scott Bell
1314,031024756X,Karen Kingsbury
1315,0310249872,Christopher J. H. Wright
1316,0310252199,Brian D. McLaren
1317,0310254876,Andy Crouch
1318,0310257867,Mark Mittelberg
1318,0310257867,Lee Strobel
1318,0310257867,Bill Hybels
1319,0310259665,J. Scott Duvall
1319,0310259665,J. Daniel Hays
1320,0310262712,David Alexander
1320,0310262712,Pat Alexander
1321,031026345X,Rob Bell
1322,0310264138,"Rick Warren, D.Min."
1322,0310264138,Zondervan Publishing
1323,0310272661,Brian D. McLaren
1324,0310330513,Miles J. Stanford
1325,0310929555,Kenneth L. Barker
1325,0310929555,Donald W. Burdick
1326,0312010443,James N. Frey
1327,0312062354,Kate Chopin
1328,0312085125,James Herriot
1329,0312088477,Gardner Dozois
1330,031211818X,Paola Cavalieri
1330,031211818X,Peter Singer
1331,031213214X,Richard Dooling
1332,0312135254,Judith Thurman
1333,0312143400,Richard Curtis
1334,0312147678,William S. Burroughs
1334,0312147678,Victor Bockris
1335,031215125X,M. M. Kaye
1336,0312155328,Henry Roth
1337,0312155859,Margaret George
1338,0312157118,John Toews
1339,0312172257,Gordon Bowker
1340,0312181108,Dodie Smith
1341,0312181337,Kurt Reighley
1342,0312183011,Sarah Vowell
1343,0312186886,Kate Atkinson
1344,0312194390,Margaret George
1345,0312194404,Bill Richardson
1346,0312199430,Jim Fergus
1347,0312202059,Henry Roth
1348,0312203039,Janet Evanovich
1349,0312203853,Julie Phillips
1350,0312241224,Lorrie Moore
1351,0312241356,Randy Shilts
1352,0312243359,Philip Gourevitch
1353,0312252811,M. M. Kaye
1354,0312263082,M. M. Kaye
1355,0312263104,M. M. Kaye
1356,0312263236,Shifra Horn
1356,0312263236,Dalya Bilu
1357,0312263996,Paul Auster
1358,0312264895,Patricia Hall
1359,0312265050,Norman Mailer
1360,0312265816,M. M. Kaye
1361,0312266057,Pauline Reage
1362,0312267177,Andrew X. Pham
1363,0312270828,Salman Rushdie
1364,0312273223,Mary Westmacott
1364,0312273223,Agatha Christie
1365,0312274920,Tony Hawks
1366,0312277105,Richard Brautigan
1367,0312278497,Hermann Hesse
1368,031227999X,Kate Atkinson
1369,031228621X,Caroline Sharp
1369,031228621X,Elizabeth Gilbert
1370,0312287445,Stacy Horn
1371,0312288018,Maxine Swann
1372,0312288271,Elizabeth Chadwick
1373,0312289510,Donna VanLiere
1374,031229543X,Gertrude S. Williams
1374,031229543X,Jo Ann Robinson
1375,0312300336,Paul Collins
1376,0312300530,Noah Gordon
1377,0312304463,James N. Frey
1378,0312306180,Jincy Willett
1379,0312306342,Janet Evanovich
1380,0312311338,Pete McCarthy
1381,0312311451,Graham Chapman
1381,0312311451,John Cleese
1381,0312311451,Terry Gilliam
1381,0312311451,Michael Palin
1381,0312311451,Eric Idle
1381,0312311451,Terry Jones
1382,0312312156,Marion Crawford
1383,0312313675,The New York Times
1384,0312315732,Tom Perrotta
1385,0312316135,Terry Eagleton
1386,0312319738,Matthew Scully
1387,0312320191,John Maddox Roberts
1388,031232118X,Emily Giffin
1389,0312321198,Emily Giffin
1390,0312321201,James Kirkwood
1391,0312323867,Emily Giffin
1392,0312330863,James Herriot
1393,0312333757,Sarah Miller
1394,031233379X,P. T. Deutermann
1395,0312339011,Maria Coffey
1396,0312342519,Rex Pickett
1397,0312348649,Emily Giffin
1398,0312349491,Janet Evanovich
1399,0312352182,Carolly Erickson
1400,0312352352,L. A. Banks
1401,031235326X,Barbara Taylor Bradford
1402,0312353766,Anita Diamant
1403,031235407X,Joy King
1404,0312354606,Barbara Taylor Bradford
1405,0312354959,Linda Francis Lee
1406,031235777X,Lindsey Davis
1407,0312360118,Mystery
1407,0312360118,Chris Odom
1408,0312360266,P. C. Cast
1408,0312360266,Kristin Cast
1409,031236086X,Let's Go Inc
1410,0312361750,The Paris Review
1411,031236296X,Janet Evanovich
1412,0312364520,James Herriot
1413,0312369344,Linda Lear
1414,0312420145,Jonathan Franzen
1415,0312420927,Paul LaFarge
1416,0312421680,Hermann Hesse
1417,0312421974,Colum McCann
1418,0312421990,Zoë Heller
1419,0312422156,Jeffrey Eugenides
1420,0312422245,Suki Kim
1421,0312422326,Paul Auster
1422,0312422733,Sigrid Nunez
1423,0312423136,Richard Powers
1424,0312423209,Thomas Pynchon
1425,0312423373,Simon Winchester
1426,0312423675,Ian Thomson
1427,0312424086,Michael Cunningham
1428,0312424124,Henry Roth
1429,0312424442,Tom Wolfe
1430,0312424671,Andrea Levy
1431,031242468X,Paul Auster
1432,0312424914,Ron Rash
1433,0312425082,Ron Rash
1434,0312425864,Melania G. Mazzucco
1435,0312426038,Anthony Shadid
1436,0312426119,Anonymous
1437,0312426232,Paul Auster
1438,0312426453,Scott Turow
1439,0312643063,James Baldwin
1440,0312852533,Jack Williamson
1441,0312853025,Jack Vance
1442,0312861435,Kim Stanley Robinson
1443,0312861877,Orson Scott Card
1444,0312862172,Clive Barker
1444,0312862172,Ray Bradbury
1445,0312864744,Jack Vance
1446,0312865767,Jack Vance
1447,0312869592,Charles de Lint
1448,0312872798,Jack Vance
1449,0312873115,Jonathan Carroll
1450,0312874561,Jack Vance
1451,0312875576,Robert A. Heinlein
1452,0312876629,Orson Scott Card
1453,031287751X,Orson Scott Card
1453,031287751X,Kathryn H. Kidd
1454,0312878265,Richard Matheson
1455,0312878605,Arthur C. Clarke
1456,0312890184,Gene Wolfe
1457,0312890389,Kim Stanley Robinson
1458,0312925743,Terry C. Johnston
1459,0312929641,David Poyer
1460,0312932782,Jennifer Crusie
1461,0312932804,Jennifer Crusie
1462,0312934300,Janet Evanovich
1462,0312934300,Charlotte Hughes
1463,0312934319,Janet Evanovich
1463,0312934319,Charlotte Hughes
1464,0312934432,L. A. Banks
1465,0312935757,Ronda Thompson
1466,0312937695,Jeffrey Archer
1467,0312937725,L. A. Banks
1468,0312940025,L. A. Banks
1469,0312940661,Wilbur Smith
1470,0312940688,Wilbur Smith
1471,031294098X,Jennifer Crusie
1471,031294098X,Eileen Dreyer
1471,031294098X,Anne Stuart
1472,0312941463,Janet Evanovich
1472,0312941463,Leanne Banks
1473,0312948964,Janet Evanovich
1474,0312953968,P. T. Deutermann
1475,0312965680,Charles Todd
1476,0312965788,James Herriot
1477,0312966202,James Herriot
1478,0312966970,Janet Evanovich
1479,0312968302,Dorothy L. Sayers
1479,0312968302,Jill Paton Walsh
1480,0312970072,Agatha Christie
1481,0312970749,Matt Braun
1482,0312971281,Charles Todd
1483,0312971397,Stephen Coonts
1484,0312975732,Hugh Miller
1485,0312978332,Rachael F. Heller
1486,0312980140,Janet Evanovich
1487,0312980167,Dan Simmons
1488,0312980388,Wilbur Smith
1489,031298166X,Agatha Christie
1490,0312982011,Gregg Olsen
1491,0312982518,Robert Ludlum
1492,0312982860,Jane Haddam
1493,0312983301,Janet Evanovich
1493,0312983301,Charlotte Hughes
1494,0312983867,Janet Evanovich
1495,0312985347,Janet Evanovich
1496,0312987013,L. A. Banks
1497,0312989385,Robert Ludlum
1498,0312990685,Robert Ludlum
1499,0312990693,Robert Ludlum
1500,0312990715,Robert Ludlum
1500,0312990715,Patrick Larkin
1501,0312994818,P. T. Deutermann
1502,0312997116,Jeffrey Archer
1503,0312997833,Matt Braun
1504,0313309337,James Craig Holte
1505,0313324522,Sarah K. Herz
1505,0313324522,Donald R. Gallo
1506,0316000612,James Patterson
1507,0316000957,Darren Shan
1508,0316010766,David Foster Wallace
1509,0316013269,Julie Powell
1510,0316013307,Robb Forman Dew
1511,0316013315,Bob Spitz
1512,0316017442,Dan Simmons
1513,0316066141,Joseph Wambaugh
1514,0316154970,Michael Connelly
1515,0316156116,David Foster Wallace
1516,0316159417,Asne Seierstad
1517,0316159727,Ellis Weiner
1517,0316159727,Barbara Davilman
1518,0316168815,Alice Sebold
1519,0316172324,Malcolm Gladwell
1520,0316182745,Janet Fitch
1521,0316281336,Timothy Ferris
1521,0316281336,Clifton Fadiman
1522,0316284955,Janet Fitch
1523,0316294527,Scott Freeman
1524,0316296198,John Fowles
1525,0316341517,Edith Hamilton
1526,0316563560,Mian Mian
1527,0316578991,Rick Moody
1528,0316614564,Michael Connelly
1529,0316693359,James Patterson
1529,0316693359,Peter De Jonge
1530,0316706000,Rick Moody
1531,0316735167,Cecily von Ziegesar
1532,0316769487,J.D. Salinger
1533,0316773786,John W. Schott
1533,0316773786,Jean S. Arbeiter
1534,0316831301,Ronald Takaki
1535,0316853690,Stephen King
1536,0316905747,Darren Shan
1537,0316907928,Robert Dallek
1538,0316910333,Cecily von Ziegesar
1539,0316912123,Cecily von Ziegesar
1540,0316919896,David Foster Wallace
1541,0316926345,Evelyn Waugh
1542,0316926604,Evelyn Waugh
1543,0316955124,Herman Wouk
1544,0316955175,Herman Wouk
1545,0321209184,Karen O'Connor
1545,0321209184,Larry Sabato
1546,032127623X,Karen O'Connor
1546,032127623X,Larry J. Sabato
1547,0321303377,Robin Williams
1547,0321303377,John Tollett
1548,0321344758,Steve Krug
1549,0321399536,Mary Wollstonecraft Shelley
1549,0321399536,Susan J. Wolfson
1550,0321427130,Oscar Wilde
1550,0321427130,Andrew Elfenbein
1551,0321432878,Harold C. Livesay
1552,0325001537,Louis E. Catron
1553,0330301748,Enid Blyton
1554,0330301756,Enid Blyton
1555,0330304216,Richard Bach
1556,0330314912,Cormac McCarthy
1557,0330316257,Frank Zappa
1557,0330316257,Peter Occhiogrosso
1558,0330334611,Cormac McCarthy
1559,0330334689,Umberto Eco
1560,0330338811,Jeff Noon
1561,0330340328,Peter F. Hamilton
1562,0330345044,Ken Follett
1563,0330346512,Kay Redfield Jamison
1564,0330347764,Melanie Rawn
1564,0330347764,Jennifer Roberson
1564,0330347764,Kate Elliott
1565,0330351699,Jon Krakauer
1566,0330351826,Peter F. Hamilton
1567,0330353829,Margaret George
1568,0330363689,Andy Griffiths
1569,033036734X,Helen Fielding
1570,0330367471,Anne Chisholm
1571,0330371223,Janet Evanovich
1572,0330371231,Janet Evanovich
1573,033037124X,Janet Evanovich
1574,0330373579,Colm Tóibín
1575,0330375466,Jon Ronson
1576,0330398040,Judy Blume
1577,033041173X,David Baldacci
1578,0330412442,Noel Malcolm
1579,0330418882,Meg Cabot
1580,0330419129,Jon Krakauer
1581,0330419153,Michael Moore
1582,0330419587,Rusty Young
1583,0330419641,David Baldacci
1584,033043313X,Alexander Frater
1585,0330444573,Benjamin Kunkel
1586,033048477X,Bret Easton Ellis
1587,0330487108,V. S. Naipaul
1588,0330487140,V. S. Naipaul
1589,0330487159,V. S. Naipaul
1590,0330487191,Vidiadhar Surajprasad Naipaul
1591,0330488155,Claire Messud
1592,0330490265,Tim Winton
1593,0333666380,Andrew P. Trout
1594,0334028965,Rubem A. Alves
1595,0340425628,Ian Fleming
1596,0340637870,Thomas Cahill
1597,0340654163,James Clavell
1598,0340689609,Chris Manby
1599,034069291X,Kate Mosse
1600,0340766166,James Clavell
1601,0340766182,James Clavell
1602,0340769203,Chris Manby
1603,0340774770,Andrew Hunt
1604,0340796146,Enid Blyton
1605,0340796154,Enid Blyton
1606,0340796189,Enid Blyton
1607,0340796340,Enid Blyton
1608,0340828064,Chris Manby
1609,034082977X,Stephen King
1610,0340831200,Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho
1610,0340831200,Howard C. Cutler
1611,0340837950,Robert A. Heinlein
1612,0340838035,Jodi Picoult
1613,0340850620,William Sleator
1614,0340878754,Kate Pennington
1615,0340917547,Enid Blyton
1616,0345296915,Damion Hunter
1617,0345301110,Pauline Réage
1618,0345302354,John Brunner
1619,0345305183,Piers Anthony
1620,0345316509,Robert Anson Heinlein
1621,0345323904,Alan Dean Foster
1622,0345331052,Howard Phillips Lovecraft
1623,0345339738,John Ronald Reuel Tolkien
1624,0345345061,J. R. R. Tolkien
1625,0345346297,Carl Sagan
1626,0345350804,H. P. Lovecraft
1627,0345352440,Julian May
1628,0345354648,Michael Crichton
1629,0345368436,Terry Jones
1630,0345373944,Faye Perozich
1630,0345373944,Anne Rice
1630,0345373944,Daerick Gross
1631,0345375211,John Ronald Reuel Tolkien
1632,0345377966,Hunter S. Thompson
1633,0345384229,Howard Phillips Lovecraft
1634,0345391691,Karen Armstrong
1635,0345396359,Hunter S. Thompson
1636,0345396537,Terry Brooks
1637,0345396553,Terry Brooks
1638,0345396707,J. Gregory Keyes
1639,0345396936,Anne Rice
1640,0345397398,Katherine M. Ramsland
1640,0345397398,Anne Rice
1641,0345397606,Margaret Weis
1641,0345397606,Tracy Hickman
1642,0345397614,Margaret Weis
1642,0345397614,Tracy Hickman
1643,0345407865,Alison Weir
1644,0345412818,Bill Maher
1645,0345414004,Robert Anson Heinlein
1646,0345417968,John Irving
1647,0345418263,William Goldman
1648,0345418689,Alan Dean Foster
1649,0345418778,Douglas Adams
1650,0345418905,Douglas Adams
1651,0345419081,Katherine Neville
1652,0345419626,Anne Rice
1653,0345419634,Anne Rice
1654,0345420748,Sue Miller
1655,034542204X,H. P. Lovecraft
1656,0345422406,Anne Rice
1657,0345422910,Cecil Adams
1657,0345422910,Ed Zotti
1658,0345423879,Luke Davies
1659,034542462X,Margaret Weis
1659,034542462X,Tracy Hickman
1660,0345425928,Jimmy Carter
1661,0345428307,Stephen Frey
1662,0345431103,George Lucas
1663,034543191X,Edward John Moreton Drax Plunkett Baron Dunsany
1664,0345432401,Mario Puzo
1665,0345433742,James Shreeve
1666,0345434072,Confucius
1666,0345434072,Roger T. Ames
1666,0345434072,Henry Rosemont
1667,0345434900,James Wight
1667,0345434900,Jim Wight
1668,0345435257,Terry Brooks
1669,0345435753,Terry Brooks
1670,034543577X,Terry Brooks
1671,0345436911,Sheri Holman
1672,034543708X,Alison Weir
1673,0345437837,Erle Stanley Gardner
1674,0345437977,Susan Carroll
1675,034543871X,Philip K. Howard
1676,0345439104,Christina Schwarz
1677,034543949X,Lester Del Rey
1678,0345440145,Margaret Cho
1679,0345440838,Louis Begley
1680,0345441036,Stephen King
1680,0345441036,Peter Straub
1681,0345441303,John Irving
1682,0345441699,Mario Puzo
1683,0345441702,Mario Puzo
1684,0345442121,P. D. James
1685,0345442636,William Goldman
1686,0345442741,Lorna Landvik
1687,0345443284,Sue Miller
1688,0345443608,Laurell K. Hamilton
1689,0345444884,Stephen King
1689,0345444884,Peter Straub
1690,0345445783,Peter Abrahams
1691,0345446100,Greg Keyes
1692,0345446666,P. D. James
1693,0345448146,Mark Kurlansky
1694,0345448197,Mark Kurlansky
1695,0345449002,Daniel Wallace
1696,0345449029,W. Haden Blackman
1697,0345450396,Alan Dean Foster
1698,0345450698,Silas House
1699,0345452518,Arthur Charles Clarke
1699,0345452518,Stephen Baxter
1700,0345453743,Douglas Adams
1701,0345453867,Julie Garwood
1702,0345455827,Mark Kurlansky
1703,0345455916,Alice Hoffman
1704,0345456343,Anne Rice
1705,0345457374,Amy Tan
1706,0345457692,Richard K. Morgan
1707,0345457749,Richard K. Morgan
1708,0345458567,Douglas A. Anderson
1709,034545894X,tess girritsen
1710,0345461274,Alan Dean Foster
1711,0345461304,Alan Dean Foster
1712,0345461363,Jeff Shaara
1713,0345461584,Alan Dean Foster
1714,0345461614,Alan Dean Foster
1715,0345461673,Peter F. Hamilton
1716,0345463056,Troy Denning
1717,0345463099,Sean Stewart
1718,0345463153,John Irving
1719,034546401X,Amy Tan
1720,0345464974,Silas House
1721,0345465547,Terry Brooks
1722,034546639X,Robert Fulghum
1723,0345467329,John Saul
1724,0345468031,Jim Lehrer
1725,0345468368,Lorna Landvik
1726,0345468392,Alan Dean Foster
1727,0345472454,Anne Tyler
1728,0345475739,James Luceno
1729,0345476093,Barbara Wertheim Tuchman
1730,0345476514,Nick Webb
1731,0345476727,Mario Puzo
1732,0345476883,Anne Rice
1733,0345476980,Tess Gerritsen
1734,0345477367,Drew Karpyshyn
1735,0345477383,Timothy Zahn
1736,0345477529,Troy Denning
1737,034547760X,Ann Margaret Lewis
1737,034547760X,Helen Keier
1738,0345477979,CLAMP (Mangaka group)
1739,0345478231,Frederick Douglass
1739,0345478231,Harriet Jacobs
1740,034547824X,Charlie Huston
1741,0345478258,Charlie Huston
1742,0345478959,Anne Tyler
1743,0345479173,Donald Trump
1744,0345479394,Harvey Pekar
1745,0345479459,Alex Irvine
1745,0345479459,Bob Kane
1746,0345479726,John Irving
1747,0345480058,Silas House
1748,0345481291,Naomi Novik
1749,034548133X,Charlie Huston
1750,0345482409,Orson Scott Card
1751,0345483170,Amanda Eyre Ward
1752,0345483197,Gail Godwin
1753,0345483898,Terry Brooks
1754,034548410X,Terry Brooks
1755,0345484401,Joyce Carol Oates
1756,0345485254,Richard K. Morgan
1757,0345486471,Noire
1758,0345486587,Linda Howard
1759,0345487036,John Saul
1760,0345487427,Susan J. Jeffers
1761,0345487621,Jillian Hunter
1762,0345490096,Karen Traviss
1763,0345490649,John Saul
1764,0345492862,Terry Brooks
1765,0345494024,Richard Adams
1766,0345494768,J. W. Rinzler
1767,0345495837,Alan Dean Foster
1768,0345495845,Alan Dean Foster
1769,0345538374,John Ronald Reuel Tolkien
1770,0349100136,Primo Levi
1771,0349100470,Primo Levi
1772,0349105308,Gore Vidal
1773,0349107866,Daniel Jonah Goldhagen
1774,0349110018,David Foster Wallace
1775,034911188X,David Foster Wallace
1776,0349113009,Mark Behr
1777,0349113467,Malcolm Gladwell
1778,0349113483,Nicholas Murray
1779,0349113912,David Sedaris
1780,034911630X,Nelson Mandela
1781,0349116644,Iain Banks
1782,0349117047,Alexander McCall Smith
1783,0373028601,Valerie Parv
1784,037312418X,Jane Porter
1785,037312600X,Annie West
1786,0373225733,Joanna Wayne
1787,0373246471,Susan Mallery
1788,0373250215,Laura Caldwell
1789,0373250479,Wendy Markham
1790,0373250711,Sarah Mlynowski
1791,0373273495,Merline Lovelace
1792,0373274483,Mary Burton
1793,0373274610,Marilyn Pappano
1794,0373274742,Debra Cowan
1795,037328523X,Nora Roberts
1796,0373285248,Nora Roberts
1797,0373285434,Nora Roberts
1798,0373291779,Cheryl St. John
1799,0373483376,Cait London
1800,0373510055,Nora Roberts
1801,0373511620,Betty Neels
1802,0373632444,Warren Murphy
1802,0373632444,Richard Sapir
1803,0373638167,James Axler
1804,0373638175,James Axler
1805,0373638523,James Axler
1806,0373713010,Melinda Curtis
1807,0373760035,Ann Major
1808,0373766629,Heidi Betts
1809,0373767617,Heidi Betts
1810,037376779X,Heidi Betts
1811,0373771258,Elizabeth Lowell
1812,0373771371,Brenda Joyce
1813,0373771711,Jayne Ann Krentz
1814,037377172X,Tess Gerritsen
1815,0373772513,Jennifer Crusie
1816,0373772521,Elizabeth Lowell
1817,0373792735,Julie Kenner
1818,0373802137,P. C. Cast
1819,0373802390,Mercedes Lackey
1819,0373802390,Tanith Lee
1819,0373802390,C. E. Murphy
1820,0373802420,P. C. Cast
1821,037380248X,Caitlin Brennan
1822,0373835493,Georgette Heyer
1823,0373836082,Georgette Heyer
1824,0373836937,Barbara Bretton
1824,0373836937,Emilie Rose
1824,0373836937,Isabel Sharpe
1825,0373870280,Loree Lough
1826,0373895208,Chris Manby
1827,0374131945,Joe Miller
1828,0374146357,Richard Powers
1829,0374253846,Jostein Gaarder
1829,0374253846,Anne Born
1830,0374271070,Leonard Michaels
1831,0374280398,John McPhee
1832,0374292795,Thomas L. Friedman
1833,0374299196,Jonathan Franzen
1834,0374422087,Polly Horvath
1835,0374500525,Isaac Bashevis Singer
1836,0374502005,Bernard Malamud
1837,0374506809,Isaac Bashevis Singer
1838,0374516006,John McPhee
1839,0374517886,Isaac Bashevis Singer
1840,0374519749,John McPhee
1841,0374522596,John McPhee
1842,0374522839,Carlos Fuentes
1843,0374522871,John McPhee
1844,0374523932,John McPhee
1845,0374524793,Isaac Bashevis Singer
1846,0374524920,Deborah Eisenberg
1847,0374525072,Mina Loy
1848,0374525110,Seamus Heaney
1849,0374525803,Paul LaFarge
1850,0374525862,Bernard Malamud
1851,0374526966,Virgil
1852,0374527059,Aeschylus
1852,0374527059,Ted Hughes
1853,0374528373,Fyodor Dostoevsky
1854,0374528535,Anthony E. Wolf
1855,0374528551,Federico García Lorca
1855,0374528551,Christopher Maurer
1855,0374528551,Catherine Brown
1856,0374528667,Stephen Kinzer
1857,0374529264,Marguerite Yourcenar
1857,0374529264,Grace Frick
1858,0374529388,Bernard Malamud
1859,0374529604,Pablo Neruda
1859,0374529604,Ilan Stavans
1860,0374529949,Joan Didion
1861,0374530254,Isaac Bashevis Singer
1862,0374530300,Dale Peck
1863,0374530319,Virgil
1864,0374530491,Yasunari Kawabata
1864,0374530491,Lane Dunlop
1864,0374530491,J. Martin Holman
1865,0374530718,Jostein Gaarder
1866,0374626235,Flannery O'Connor
1867,0375400702,Samuel Beckett
1868,0375407936,Cormac McCarthy
1869,0375408274,Arnold Rampersad
1870,0375411720,graf Leo Tolstoy
1870,0375411720,Louise Maude
1871,0375415033,George Orwell
1872,037542105X,Edward W. Saïd
1873,0375422722,Alexander McCall Smith
1874,037542380X,Charles Burns
1875,0375500723,Maya Angelou
1876,0375507159,Tom Hunt
1877,0375507906,Truman Capote
1878,0375509178,Francine Segan
1879,0375700129,Jonathan Lethem
1880,0375700269,Susan Minot
1881,0375700811,Norman Mailer
1882,0375701362,Hermione Lee
1883,037570180X,Jodi Cobb
1883,037570180X,Ian Buruma
1884,0375701885,James Baldwin
1885,0375701893,James Baldwin
1886,0375701966,Walker Percy
1887,0375702369,Jeanette Winterson
1888,0375702970,Andrew Delbanco
1889,0375703063,Kaye Gibbons
1890,0375703403,Suketu Mehta
1891,0375703845,Bret Easton Ellis
1892,0375703861,Zadie Smith
1893,037570387X,Zadie Smith
1894,0375704051,Oliver W. Sacks
1895,0375704256,Paul Hendrickson
1896,0375704434,Nathan Englander
1897,037570504X,Edwidge Danticat
1898,0375705244,Joseph J. Ellis
1899,037570633X,Eliza Minot
1900,0375706364,Fred Anderson
1901,0375706674,Cormac McCarthy
1902,0375707212,Philip Roth
1903,0375708219,David K. Shipler
1904,0375708227,Richard Rhodes
1905,0375711163,Mark Stevens
1905,0375711163,Annalyn Swan
1906,0375713344,Katherine Dunn
1907,037571393X,Richard Rhodes
1908,0375714332,Robert D. Kaplan
1909,0375714499,Edward S. Herman
1909,0375714499,Noam Chomsky
1910,0375714626,Alex Ross
1911,0375714634,Charles M. Schulz
1912,0375714766,Craig Thompson
1913,0375719008,Fyodor Dostoyevsky
1914,0375719016,Fyodor Mikhailovich Dostoevsky
1914,0375719016,Fyodor Dostoyevsky
1915,0375724370,Michael Ondaatje
1916,0375724427,John Cheever
1917,0375724508,David Mitchell
1918,037572463X,William Somerset Maugham
1919,0375724931,Ha Jin
1920,0375724958,Eric Hansen
1921,0375725032,Donald Antrim
1922,037572530X,John Banville
1923,0375725970,Philip Caputo
1924,0375726217,Nicholson Baker
1925,0375726519,Kōbō Abe
1926,0375726527,Kōbō Abe
1927,0375726535,Kobo Abe
1927,0375726535,Kōbō Abe
1928,0375726713,Eric Ambler
1929,0375726721,Eric Ambler
1930,0375726799,Eric Ambler
1931,037572706X,Gore Vidal
1932,0375727132,Ann Packer
1933,0375727272,Bret Easton Ellis
1934,0375727388,Mark Mazower
1935,0375727574,Halldór Laxness
1936,0375727582,Halldor Kiljan Laxness
1937,0375751513,Oscar Wilde
1938,0375752331,Marcel Proust
1939,0375752676,David Roberts
1939,0375752676,Jon Krakauer
1940,0375753109,Marcel Proust
1941,0375755195,Billy Collins
1942,0375755209,Billy Collins
1943,0375755217,Billy Collins
1944,0375756604,Solomon Jones
1945,0375757015,Charles Dickens
1946,037575718X,Thomas Hardy
1947,0375757287,Edith Wharton
1948,0375757996,Aristotle
1949,0375758232,Adam Gopnik
1950,0375758739,Ruth Reichl
1951,037575914X,Charles Dickens
1952,037575931X,Wallace Stegner
1953,0375759344,Thomas Stearns Eliot
1954,0375759867,Jonathan Harr
1955,037576013X,George Eliot
1956,0375760393,Michael Pollan
1957,0375760520,Margaret MacMillan
1958,0375760644,graf Leo Tolstoy
1959,0375760814,Nancy Milford
1960,0375760849,John F. Harris
1961,0375760946,Marcia Angell
1962,0375806709,Norton Juster
1963,0375812938,Thomas R. Holtz
1963,0375812938,M. K. Brett-Surman
1964,0375813683,Ron Roy
1965,0375813756,Jerry Spinelli
1966,037581468X,Tamora Pierce
1967,0375823026,Barbara Park
1968,0375823786,Mary Pope Osborne
1968,0375823786,Natalie Pope Boyce
1969,0375826882,George Edward Stanley
1970,0375826890,George Edward Stanley
1971,037582748X,Lois Lenski
1972,0375828257,Jeanne DuPrau
1973,0375829636,Tamora Pierce
1973,0375829636,Josepha Sherman
1974,0375832203,Mary Pope Osborne
1974,0375832203,Natalie Pope Boyce
1975,0375832211,Mary Pope Osborne
1975,0375832211,Natalie Pope Boyce
1976,0375835318,Rachel Cohn
1976,0375835318,David Levithan
1977,0375836047,Emily Jenkins
1978,0375836578,David Levithan
1979,0375839372,Ron Roy
1980,0375839569,David Levithan
1981,0375844406,Rachel Cohn
1981,0375844406,David Levithan
1982,0375846735,Philip Pullman
1983,0380016362,Donald Zochert
1984,0380620006,Stephen Manes
1985,0380707632,John Boslough
1986,038071082X,Colleen McCullough
1987,0380710846,Colleen McCullough
1988,0380711966,Colleen McCullough
1989,0380713802,Bill Bryson
1990,0380713810,Bill Bryson
1991,0380715430,Bill Bryson
1992,038071812X,Sylvia Cassedy
1993,0380720442,George Smoot
1993,0380720442,Keay Davidson
1994,0380720868,Raymond E. Feist
1995,0380725789,Bartholomew Gill
1996,0380727501,Bill Bryson
1997,0380730367,Dennis Lehane
1998,0380731150,Elizabeth Peters
1999,0380731215,Elizabeth Peters
2000,0380731223,Elizabeth Peters
2001,0380731509,Louis Sachar
2002,038073186X,Dennis Lehane
2003,0380731959,Elizabeth Peters
2004,0380732025,Cynthia Harrod-Eagles
2005,0380732548,Johanna Hurwitz
2006,0380755696,Jane Feather
2007,0380759497,Piers Anthony
2007,0380759497,Piers A. Jacob
2008,0380759500,Piers Anthony
2009,0380763397,Elizabeth Lowell
2010,038077108X,Bob Callahan
2011,0380777584,Deborah Gordon
2012,0380784912,Kathleen Eagle
2013,0380789027,Neil Gaiman
2014,0380789833,Raymond E. Feist
2015,0380792044,Deborah Woodworth
2016,0380793474,Kate Klise
2017,038079487X,Pearl Cleage
2018,0380803275,Raymond E. Feist
2019,0380809060,Roger Zelazny
2020,0380810956,Neil Gaiman
2021,0380813815,Christopher Moore
2022,0380813866,Katherine Hall Page
